CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
2         0.0015  OpenBTS                  OpenBTS                  GSM::XCCHL1Decoder::processBurst(GSM::RxBurst const&)
2         0.0015  OpenBTS                  OpenBTS                  resolveAddress(sockaddr_in*, char const*, unsigned short)
2         0.0015  libuhd.so.003.002        libuhd.so.003.002        bool boost::condition_variable_any::timed_wait<boost::unique_lock<boost::mutex> >(boost::unique_lock<boost::mutex>&, boost::posix_time::ptime const&)
1        7.4e-04  OpenBTS                  OpenBTS                  BitVector::invert()
1        7.4e-04  OpenBTS                  OpenBTS                  Control::waitForPrimitive(GSM::LogicalChannel*, GSM::Primitive)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L1Decoder::ARFCN() const
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2Frame::L2Frame(BitVector const&, GSM::Primitive)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2Frame::L2Frame(GSM::L2Header const&, BitVector const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2Header::write(GSM::L2Frame&) const
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2LAPDm::sendUFrameUI(GSM::L3Frame const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2LAPDm::stuckChannel(GSM::L2Frame const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2LAPDm::writeL1NoAck(GSM::L2Frame const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2LAPDm::writeLowSide(GSM::L2Frame const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L2Length::write(GSM::L2Frame&, unsigned int&) const
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::L3MeasurementResults::parseV(GSM::L3Frame const&, unsigned int&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::NDCCHL1Encoder::serviceLoop()
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::SACCHL1Decoder::handleGoodFrame()
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::SACCHL1Decoder::processBurst(GSM::RxBurst const&)
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::SACCHL1Encoder::headerOffset() const
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::XCCHL1Decoder::decode()
1        7.4e-04  OpenBTS                  OpenBTS                  GSM::XCCHL1Decoder::handleGoodFrame()
1        7.4e-04  OpenBTS                  OpenBTS                  PointerFIFO::release(ListNode*)
1        7.4e-04  OpenBTS                  OpenBTS                  Signal::wait(Mutex&, unsigned int) const
1        7.4e-04  [vectors] (tgid:395 range:0xffff0000-0xffff1000) avahi-daemon             [vectors] (tgid:395 range:0xffff0000-0xffff1000)
1        7.4e-04  busybox                  busybox                  /bin/busybox
1        7.4e-04  chan_mgcp.so             chan_mgcp.so             /usr/lib/asterisk/modules/chan_mgcp.so
1        7.4e-04  init.sysvinit            init.sysvinit            /sbin/init.sysvinit
1        7.4e-04  ld-2.12.2.so             ld-2.12.2.so             _dl_fixup
1        7.4e-04  ld-2.12.2.so             ld-2.12.2.so             _dl_lookup_symbol_x
1        7.4e-04  ld-2.12.2.so             ld-2.12.2.so             _dl_runtime_resolve
1        7.4e-04  ld-2.12.2.so             ld-2.12.2.so             dl_main
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           _IO_getline_info
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           __libc_sigaction
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           __lll_lock_wait_private
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           _wordcopy_fwd_dest_aligned
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           calloc
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           inet_ntop4
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           new_composite_name
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           sscanf
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           strcasecmp
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           strchr
1        7.4e-04  libc-2.12.2.so           libc-2.12.2.so           strchrnul
1        7.4e-04  libm-2.12.2.so           libm-2.12.2.so           finite
1        7.4e-04  pbx_dundi.so             pbx_dundi.so             /usr/lib/asterisk/modules/pbx_dundi.so
